PC1,PC2,PC3,PC4
-2.32,-0.92,0.00,0.00
-2.29,-0.91,-0.00,0.00
-2.27,-0.91,0.00,0.00
-2.24,-0.90,-0.00,0.00
-2.21,-0.90,-0.00,0.00
-2.19,-0.90,0.00,0.00
-2.16,-0.89,0.00,0.00
-2.14,-0.89,-0.00,0.00
-2.11,-0.88,0.00,0.00
-2.09,-0.88,0.00,0.00
-2.06,-0.88,-0.00,0.00
-2.04,-0.87,0.00,0.00
-2.01,-0.87,-0.00,0.00
-1.99,-0.86,-0.00,0.00
-1.96,-0.86,-0.00,0.00
-1.94,-0.85,0.00,0.00
-1.91,-0.85,-0.00,0.00
-1.88,-0.85,-0.00,0.00
-1.86,-0.84,0.00,0.00
-1.83,-0.84,0.00,0.00
-1.81,-0.83,0.00,0.00
-1.78,-0.83,0.00,0.00
-1.75,-0.82,0.00,0.00
-1.73,-0.82,0.00,0.00
-1.70,-0.81,0.00,0.00
-1.67,-0.81,0.00,0.00
-1.65,-0.81,0.00,0.00
-1.62,-0.80,-0.00,0.00
-1.60,-0.80,0.00,0.00
-1.57,-0.79,0.00,0.00
-1.54,-0.79,-0.00,0.00
-1.52,-0.78,0.00,0.00
-1.49,-0.78,0.00,0.00
-1.47,-0.78,-0.00,0.00
-1.44,-0.77,0.00,0.00
-1.41,-0.77,0.00,0.00
-1.38,-0.76,0.00,0.00
-1.36,-0.76,0.00,0.00
-1.33,-0.75,-0.00,0.00
-1.31,-0.75,-0.00,0.00
-1.28,-0.75,0.00,0.00
-1.26,-0.74,0.00,0.00
-1.23,-0.74,0.00,0.00
-1.20,-0.73,0.00,0.00
-1.18,-0.73,0.00,0.00
-1.15,-0.72,0.00,0.00
-1.13,-0.72,-0.00,0.00
-1.10,-0.72,0.00,0.00
-1.07,-0.71,0.00,0.00
-1.05,-0.71,0.00,0.00
-1.03,-0.70,0.00,0.00
-1.00,-0.70,0.00,0.00
-0.97,-0.69,-0.00,0.00
-0.94,-0.69,-0.00,0.00
-0.92,-0.68,0.00,0.00
-0.89,-0.68,-0.00,0.00
-0.87,-0.68,0.00,0.00
-0.84,-0.67,0.00,0.00
-0.82,-0.67,0.00,0.00
-0.79,-0.66,-0.00,0.00
-0.76,-0.66,0.00,0.00
-0.74,-0.65,0.00,0.00
-0.71,-0.65,0.00,0.00
-0.69,-0.65,0.00,0.00
-0.66,-0.64,0.00,0.00
-0.64,-0.64,0.00,0.00
-0.61,-0.63,0.00,0.00
-0.58,-0.63,0.00,0.00
-0.56,-0.62,0.00,0.00
-0.53,-0.62,0.00,0.00
-0.51,-0.62,0.00,0.00
-0.48,-0.61,0.00,0.00
-0.45,-0.61,0.00,0.00
-0.43,-0.60,0.00,0.00
-0.40,-0.60,0.00,0.00
-0.38,-0.59,0.00,0.00
-0.35,-0.59,0.00,0.00
-0.33,-0.59,0.00,0.00
-0.30,-0.58,-0.00,0.00
-0.27,-0.58,0.00,0.00
-0.25,-0.57,0.00,0.00
-0.22,-0.57,0.00,0.00
-0.20,-0.56,0.00,0.00
-0.17,-0.56,0.00,0.00
-0.14,-0.56,0.00,0.00
-0.12,-0.55,0.00,0.00
-0.09,-0.55,0.00,0.00
-0.06,-0.54,0.00,0.00
-0.04,-0.54,0.00,0.00
-0.02,-0.53,0.00,0.00
0.01,-0.53,0.00,0.00
0.04,-0.53,0.00,0.00
0.06,-0.52,-0.00,0.00
0.09,-0.52,0.00,0.00
0.11,-0.51,-0.00,0.00
0.14,-0.51,0.00,0.00
0.16,-0.50,0.00,0.00
0.19,-0.50,-0.00,0.00
0.22,-0.50,0.00,-0.00
0.24,-0.49,0.00,-0.00
0.27,-0.49,0.00,-0.00
0.29,-0.48,0.00,-0.00
0.32,-0.48,0.00,-0.00
0.35,-0.47,0.00,-0.00
0.37,-0.47,0.00,-0.00
0.40,-0.47,0.00,-0.00
0.43,-0.46,0.00,-0.00
0.45,-0.46,0.00,-0.00
0.47,-0.45,0.00,-0.00
0.50,-0.45,0.00,-0.00
0.53,-0.44,0.00,-0.00
0.55,-0.44,-0.00,-0.00
0.58,-0.43,0.00,-0.00
0.61,-0.43,0.00,-0.00
0.63,-0.43,0.00,-0.00
0.65,-0.42,0.00,-0.00
0.68,-0.42,-0.00,-0.00
0.71,-0.41,0.00,-0.00
0.73,-0.41,0.00,-0.00
0.76,-0.40,0.00,-0.00
0.78,-0.40,0.00,-0.00
0.81,-0.40,0.00,-0.00
0.84,-0.39,0.00,-0.00
0.86,-0.39,0.00,-0.00
0.89,-0.38,0.00,-0.00
0.91,-0.38,-0.00,-0.00
0.94,-0.37,0.00,-0.00
0.96,-0.37,0.00,-0.00
0.99,-0.37,0.00,-0.00
1.02,-0.36,0.00,-0.00
1.05,-0.36,0.00,-0.00
1.07,-0.35,0.00,-0.00
1.10,-0.35,-0.00,-0.00
1.12,-0.34,0.00,-0.00
1.15,-0.34,-0.00,-0.00
1.17,-0.34,-0.00,-0.00
1.20,-0.33,0.00,-0.00
1.23,-0.33,0.00,-0.00
1.25,-0.32,0.00,-0.00
1.28,-0.32,0.00,-0.00
1.30,-0.31,0.00,-0.00
1.33,-0.31,0.00,-0.00
1.35,-0.31,0.00,-0.00
1.38,-0.30,0.00,-0.00
1.40,-0.30,-0.00,-0.00
1.43,-0.29,-0.00,-0.00
1.45,-0.29,0.00,-0.00
1.48,-0.28,-0.00,-0.00
