Method,Component,Rank,Feature,Coefficient
PCA,PC1,1,experiment_elapsed_minutes,0.70
PCA,PC1,2,experiment_elapsed_seconds,0.70
PCA,PC1,3,value,-0.10
PCA,PC1,4,phase_number,0.00
PCA,PC2,1,value,1.00
PCA,PC2,2,experiment_elapsed_minutes,0.07
PCA,PC2,3,experiment_elapsed_seconds,0.07
PCA,PC2,4,phase_number,0.00
PCA,PC3,1,phase_number,1.00
PCA,PC3,2,value,-0.00
PCA,PC3,3,experiment_elapsed_seconds,0.00
PCA,PC3,4,experiment_elapsed_minutes,0.00
PCA,PC4,1,experiment_elapsed_minutes,0.71
PCA,PC4,2,experiment_elapsed_seconds,-0.71
PCA,PC4,3,phase_number,-0.00
PCA,PC4,4,value,-0.00
ICA,IC1,1,phase_number,9071786467333182.00
ICA,IC1,2,experiment_elapsed_minutes,205196.91
ICA,IC1,3,experiment_elapsed_seconds,-205195.91
ICA,IC1,4,value,0.07
ICA,IC2,1,phase_number,9071786467257044.00
ICA,IC2,2,experiment_elapsed_minutes,205196.91
ICA,IC2,3,experiment_elapsed_seconds,-205195.91
ICA,IC2,4,value,0.07
ICA,IC3,1,phase_number,9071786467314224.00
ICA,IC3,2,experiment_elapsed_minutes,205196.91
ICA,IC3,3,experiment_elapsed_seconds,-205195.91
ICA,IC3,4,value,0.07
ICA,IC4,1,phase_number,-9071786467436486.00
ICA,IC4,2,experiment_elapsed_minutes,-205196.91
ICA,IC4,3,experiment_elapsed_seconds,205195.91
ICA,IC4,4,value,-0.07
