IC1,IC2,IC3,IC4
-3.88,-1.39,-1.70,0.39
-4.05,-1.36,-1.40,0.39
-4.03,-1.48,-0.76,0.29
-4.10,-1.77,0.24,0.30
-3.97,-1.60,-1.68,0.22
-3.95,-1.73,-1.05,0.12
-3.93,-1.23,-2.03,0.26
-3.99,-1.52,-1.03,0.40
-3.97,-1.65,-2.02,0.42
-4.14,-1.61,-1.71,0.30
-3.65,-1.91,-0.72,0.44
-4.00,-1.57,-1.37,0.36
-4.17,-1.53,-1.07,0.24
-4.04,-1.36,-1.36,0.15
-4.21,-1.32,-1.06,0.27
-4.19,-1.45,-0.42,0.42
-4.06,-1.28,-0.72,0.33
-4.06,-1.54,-1.10,0.32
-4.11,-1.70,-0.71,0.25
-4.00,-1.66,-0.40,0.37
-3.98,-1.16,-1.38,0.39
-3.76,-2.08,-0.39,0.41
-4.39,-1.12,-2.67,0.33
-4.00,-1.08,-0.74,0.21
-4.43,-0.91,-2.65,0.25
-4.22,-1.20,-1.66,0.26
-4.20,-1.33,-1.02,0.28
-3.98,-1.62,-1.64,0.42
-3.96,-1.43,-1.01,0.44
-4.50,-0.93,-2.00,0.22
-4.11,-1.21,-0.07,0.34
-3.99,-1.35,-0.37,0.26
-4.16,-1.32,-0.06,0.26
-4.14,-1.13,-1.05,0.28
-4.03,-1.41,-0.74,0.28
-4.01,-1.22,-0.91,0.30
-3.90,-1.18,-0.61,0.43
-4.05,-1.33,-0.90,0.40
-4.03,-1.14,-0.27,0.43
-4.57,-0.64,-2.07,0.08
-4.18,-1.23,-0.14,0.20
-4.18,-1.18,-0.52,0.25
-4.06,-1.32,-0.82,0.29
-3.95,-1.28,-0.51,0.35
-3.93,-1.09,-0.69,0.43
-3.71,-1.70,1.12,0.51
-3.97,-1.20,-0.68,0.28
-4.02,-1.05,-0.28,0.34
-4.17,-1.19,-0.58,0.19
-4.60,-0.70,-1.68,0.16
-4.04,-1.28,-0.44,0.33
-4.19,-1.11,0.07,0.31
-4.18,-0.99,-0.60,0.30
-4.05,-1.13,-0.08,0.33
-4.13,-1.18,-0.42,0.35
-4.35,-0.79,-0.67,0.22
-4.43,-0.84,-1.01,0.17
-4.04,-1.11,0.11,0.36
-4.30,-0.92,-0.88,0.32
-4.27,-0.67,-0.53,0.28
-4.07,-0.72,-0.87,0.36
-4.14,-0.76,-0.40,0.25
-4.22,-0.81,-0.74,0.26
-4.37,-0.64,-1.03,0.29
-4.16,-0.68,-0.56,0.37
-4.41,-0.74,-0.21,0.27
-4.10,-1.12,0.14,0.23
-4.54,-0.38,-1.49,0.21
-4.16,-0.66,-0.38,0.33
-4.45,-0.49,-1.48,0.18
-4.38,-0.54,-1.01,0.19
-4.53,-0.36,-1.31,0.17
-4.32,-0.66,-0.31,0.24
-4.30,-0.47,-1.29,0.27
-4.22,-0.76,0.51,0.22
-4.37,-0.75,-0.59,0.13
-4.28,-0.62,-0.00,0.26
-4.08,-0.67,-0.34,0.45
-4.37,-0.34,-1.04,0.21
-4.30,-0.70,-0.17,0.25
-4.31,-0.37,-0.87,0.29
-4.21,-0.65,-0.16,0.32
-4.36,-0.63,-0.05,0.21
-4.43,-0.68,-0.39,0.12
-4.05,-0.80,0.33,0.31
-4.49,-0.38,-0.90,0.19
-4.24,-0.66,-0.19,0.25
-4.18,-0.54,-0.12,0.32
-4.33,-0.37,-0.82,0.30
-4.17,-0.53,-0.03,0.27
-4.32,-0.36,-0.33,0.19
-4.17,-0.52,0.06,0.32
-4.29,-0.68,0.45,0.20
-4.44,-0.51,0.16,0.11
-4.35,-0.39,-0.07,0.23
-4.36,-0.21,-0.76,0.30
-4.34,-0.38,-0.38,0.28
-4.33,-0.54,0.01,0.22
-4.19,-0.42,0.08,0.36
-4.38,-0.24,-0.50,0.29
-4.26,-0.49,0.17,0.24
-4.37,-0.36,-0.05,0.20
-4.35,-0.31,-0.07,0.22
-4.33,-0.40,0.32,0.17
-4.61,-0.09,-0.79,0.14
-4.19,-0.47,0.41,0.27
-4.47,-0.08,-0.49,0.24
-4.38,-0.25,-0.10,0.22
-4.32,-0.07,-0.40,0.35
-4.31,-0.24,-0.01,0.35
-4.60,-0.06,-0.30,0.09
-4.51,-0.19,-0.12,0.10
