IC1,IC2,IC3,IC4
0.56,-1.53,-0.83,-0.64
-1.87,-1.60,1.78,-0.54
0.67,-1.54,0.57,-0.60
0.41,-1.48,0.29,-0.80
0.35,-1.51,-0.39,-0.57
0.53,-1.37,-0.14,-0.65
0.27,-1.30,-0.41,-0.89
0.01,-1.23,-0.69,-0.71
-1.34,-1.42,2.57,-0.99
0.13,-1.12,0.38,-0.83
0.31,-1.14,0.63,-0.53
0.69,-1.10,0.48,-0.66
0.43,-1.03,0.20,-0.49
0.62,-1.06,0.45,-0.56
2.08,-0.76,-1.73,-0.70
0.09,-0.92,-0.10,-0.44
0.47,-0.88,-0.26,-0.72
-0.65,-0.93,0.42,-1.06
-0.27,-0.89,0.27,-0.63
-0.09,-0.74,0.52,-0.62
-1.12,-0.84,0.24,-0.75
0.25,-0.82,0.51,-0.37
-1.09,-0.85,0.76,-0.38
0.82,-0.47,-0.90,-0.66
-0.21,-0.74,0.33,-0.40
-0.03,-0.59,-0.17,-0.69
0.26,-0.50,-0.12,-0.83
-0.00,-0.51,0.35,-0.69
0.28,-0.42,-0.35,-0.86
-0.20,-0.41,-0.30,-0.65
0.84,-0.32,-1.01,-0.52
0.58,-0.33,-0.53,-0.66
-0.33,-0.38,-0.01,-0.36
-0.21,-0.31,-0.29,-0.64
-0.36,-0.28,0.62,-0.66
-0.19,-0.28,-0.14,-0.31
0.52,-0.13,-0.57,-0.69
0.38,-0.01,-0.42,-1.04
-1.28,-0.18,1.02,-0.99
0.03,-0.04,-0.02,-0.86
1.09,0.11,-1.21,-0.58
-0.17,-0.03,0.18,-0.66
0.67,0.15,-0.68,-0.76
-0.61,-0.03,0.67,-0.46
0.33,0.14,-0.38,-0.54
1.27,0.34,-1.41,-0.75
0.07,0.20,-0.07,-0.62
1.00,0.41,-1.21,-0.84
-0.55,0.20,0.49,-0.56
0.70,0.40,-0.70,-0.67
-0.74,0.22,0.88,-0.61
0.38,0.32,-0.16,-0.34
0.71,0.51,-0.97,-0.52
-0.41,0.38,0.46,-0.67
0.73,0.59,-0.82,-0.51
-0.39,0.46,0.61,-0.66
0.32,0.53,-0.58,-0.30
-1.50,0.39,1.38,-0.57
0.29,0.63,-0.33,-0.74
1.01,0.78,-0.76,-0.64
-1.20,0.64,1.20,-0.88
-0.06,0.77,0.30,-0.72
-0.73,0.63,0.75,-0.38
-0.03,0.76,0.07,-0.55
1.88,1.14,-1.59,-0.73
-0.01,0.84,-0.16,-0.49
1.03,1.10,-0.87,-0.62
