IC1,IC2,IC3,IC4
-1.70,-1.70,-1.70,1.70
-1.66,-1.66,-1.66,1.66
-1.61,-1.61,-1.61,1.61
-1.57,-1.57,-1.57,1.57
-1.53,-1.53,-1.53,1.53
-1.50,-1.50,-1.50,1.50
-1.46,-1.46,-1.46,1.46
-1.42,-1.42,-1.42,1.42
-1.38,-1.38,-1.38,1.38
-1.34,-1.34,-1.34,1.34
-1.31,-1.31,-1.31,1.31
-1.27,-1.27,-1.27,1.27
-1.23,-1.23,-1.23,1.23
-1.20,-1.20,-1.20,1.20
-1.16,-1.16,-1.16,1.16
-1.12,-1.12,-1.12,1.12
-1.08,-1.08,-1.08,1.08
-1.04,-1.04,-1.04,1.04
-1.01,-1.01,-1.01,1.01
-0.97,-0.97,-0.97,0.97
-0.93,-0.93,-0.93,0.93
-0.89,-0.89,-0.89,0.89
-0.86,-0.86,-0.86,0.86
-0.83,-0.83,-0.83,0.83
-0.79,-0.79,-0.79,0.79
-0.75,-0.75,-0.75,0.75
-0.72,-0.72,-0.72,0.72
-0.68,-0.68,-0.68,0.68
-0.64,-0.64,-0.64,0.64
-0.61,-0.61,-0.61,0.61
-0.57,-0.57,-0.57,0.57
-0.53,-0.53,-0.53,0.53
-0.50,-0.50,-0.50,0.50
-0.46,-0.46,-0.46,0.46
-0.42,-0.42,-0.42,0.42
-0.38,-0.38,-0.38,0.38
-0.35,-0.35,-0.35,0.35
-0.32,-0.32,-0.32,0.32
-0.28,-0.28,-0.28,0.28
-0.25,-0.25,-0.25,0.25
-0.21,-0.21,-0.21,0.21
-0.17,-0.17,-0.17,0.17
-0.14,-0.14,-0.14,0.14
-0.10,-0.10,-0.10,0.10
-0.06,-0.06,-0.06,0.06
-0.03,-0.03,-0.03,0.03
0.01,0.01,0.01,-0.01
0.05,0.05,0.05,-0.05
0.08,0.08,0.08,-0.08
0.12,0.12,0.12,-0.12
0.15,0.15,0.15,-0.15
0.19,0.19,0.19,-0.19
0.22,0.22,0.22,-0.22
0.26,0.26,0.26,-0.26
0.30,0.30,0.30,-0.30
0.34,0.34,0.34,-0.34
0.37,0.37,0.37,-0.37
